"AVOID_MAN_CD","BODY_TYPE","COMM_VEH","CRN","DAMAGE_IND","DVR_PRES_IND","EMERG_VEH_USE_CD","GRADE","IMPACT_POINT","INS_IND","MAKE_CD","MODEL_YR","OWNER_DRIVER","PEOPLE_IN_UNIT","PRIN_IMP_PT","RDWY_ALIGNMENT","SPECIAL_USAGE","TRAVEL_DIRECTION","TRAVEL_SPD","TRL_VEH_CNT","UNDER_RIDE_IND","UNIT_NUM","UNIT_TYPE","VEH_COLOR_CD","VEH_MOVEMENT","VEH_POSITION","VEH_REG_STATE","VEH_ROLE","VEH_TYPE","PARTIAL_VIN","VINA_BODY_TYPE_CD"
"","09","N","2021090409","3","1","","3","12","Y","SUBA","2020","01","1","","1","00","N","999","0","","1","01","07","01","03","PA","1","01","JF1VA1A63L9","P"
"","15","N","2021057921","2","2","","1","05","Y","GMC","2002","","0","","1","00","","000","0","","2","02","03","06","12","PA","2","06","1GKDT13S622","T4W"
"","15","N","2021108177","1","1","","2","05","Y","MITS","2017","02","1","","1","00","N","055","","","2","01","05","01","06","PA","3","06","JA4AZ3A34HZ","T4W"
"","05","N","2021062169","3","1","","1","12","Y","TOYT","2007","02","1","","1","00","E","999","","","1","01","12","01","01","PA","1","01","JTDKB20U273","P4H"
"","69","N","2021114194","2","1","","1","08","Y","FORD","2021","01","1","","1","00","W","000","","","2","01","05","03","01","PA","2","06","1FMSK8DH7MG","T"
"","15","N","2021107921","3","1","","1","07","Y","FORD","2017","07","1","","1","03","W","999","","","1","01","05","01","01","PA","2","01","1FM5K8AR7HG","T4W"
"","51","N","2021083495","3","1","","2","12","Y","FORD","2003","01","1","","1","00","S","045","","","1","01","01","01","01","PA","1","06","1FDXF47S23E","TCB"
"","15","N","2021095769","3","1","","1","12","Y","JEEP","2014","02","1","","1","00","S","035","","","1","01","03","12","98","PA","0","06","1C4NJRFB5ED","T4W"
"","20","N","2021093310","3","1","","3","00","Y","YAMA","2006","02","2","","3","41","E","999","","","1","01","05","17","11","PA","0","02","JYAVP21E76A","MRS"
"","69","N","2021107356","3","1","","3","12","Y","CHEV","2018","03","1","","1","00","S","015","","","1","01","07","01","01","MI","1","06","2GNAXJEV9J6","T"
